unnamed:_0,pays/zone,pib_1980,pib_1981,pib_1982,pib_1983,pib_1984,pib_1985,pib_1986,pib_1987,pib_1988,pib_1989,pib_1990,pib_1991,pib_1992,pib_1993,pib_1994,pib_1995,pib_1996,pib_1997,pib_1998,pib_1999,pib_2000,pib_2001,pib_2002,pib_2003,pib_2004,pib_2005,pib_2006,pib_2007,pib_2008,pib_2009,pib_2010,pib_2011,pib_2012,pib_2013,pib_2014,pib_2015,pib_2016,pib_2017,pib_2018,pib_2019,pib_2020,pib_2021,pib_2022,pib_2023
65,Grèce,57.01,52.605,54.878,49.603,48.329,47.936,56.421,65.683,76.448,79.25,97.964,105.633,116.467,109.022,116.678,136.942,145.872,143.326,144.644,149.412,132.198,136.31,154.455,202.32,240.854,248.012,273.562,318.941,355.869,330.949,297.368,282.946,242.183,238.911,235.519,195.703,193.095,199.773,212.146,205.279,188.775,215.017,219.238,242.385
66,Guatemala,7.718,8.431,8.539,8.864,9.276,10.951,5.921,6.857,7.426,8.561,7.535,9.174,10.138,11.045,12.482,14.05,14.992,16.982,18.461,17.422,18.124,19.735,21.924,23.092,24.977,28.179,31.308,35.028,40.242,37.997,41.493,47.419,49.902,52.989,57.835,62.18,66.034,71.624,73.331,77.156,77.714,86.041,95.004,102.765
67,Guinée,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.012,4.506,4.178,6.317,6.966,6.753,6.858,6.775,7.387,8.376,8.777,8.79,8.604,10.325,11.857,13.443,14.089,15.841,20.304,23.205
68,Guinée équatoriale,0.032,0.03,0.035,0.04,0.044,0.074,0.091,0.111,0.119,0.105,0.133,0.132,0.16,0.162,0.12,0.169,0.276,0.526,0.44,0.738,1.159,1.674,2.071,3.768,5.954,8.187,10.095,13.089,19.83,15.088,16.314,21.357,22.388,21.949,21.765,13.185,11.241,12.201,13.097,11.364,9.894,12.269,11.767,10.041
69,Guinée-Bissau,0.289,0.37,0.421,0.475,0.33,0.485,0.474,0.401,0.374,0.449,0.548,0.772,0.846,0.653,0.361,0.778,0.741,0.704,0.592,0.58,0.392,0.413,0.466,0.553,0.582,0.64,0.635,0.753,0.953,0.889,0.941,1.157,1.05,1.11,1.136,1.153,1.245,1.469,1.555,1.487,1.523,1.725,1.718,1.991
70,Guyana,0.842,0.808,0.692,0.703,0.654,0.697,0.789,0.728,0.828,0.832,0.685,0.744,0.823,1.003,1.176,1.332,1.495,1.587,1.5,1.488,1.497,1.504,1.555,1.592,1.657,1.712,1.899,2.225,2.491,2.596,2.889,3.328,4.063,4.168,4.128,4.28,4.483,4.748,4.788,5.174,5.471,7.662,14.529,16.329
72,Haïti,2.664,2.932,3.05,3.273,3.627,4.028,4.475,2.205,1.45,1.34,1.706,1.53,0.918,1.107,3.054,4.846,5.0,5.748,6.408,7.148,6.81,6.285,6.064,4.866,6.037,7.186,7.507,9.522,10.488,11.598,11.852,13.009,13.709,14.904,15.137,14.831,13.996,15.036,16.454,14.787,14.508,21.017,20.535,25.986
73,Honduras,3.968,4.044,4.267,4.477,4.915,5.278,5.678,6.191,6.877,7.877,4.923,4.649,4.944,4.961,4.642,5.415,5.217,5.736,6.366,6.417,7.187,7.651,7.858,8.23,8.869,9.757,10.917,12.361,13.882,14.587,15.839,17.71,18.529,18.5,19.757,20.98,21.718,23.136,24.068,25.091,23.662,28.291,31.523,33.992
74,Hong Kong,28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.639,248.514,262.629,275.697,291.46,309.386,320.86,341.271,361.731,363.075,344.941,368.909,359.839,385.546
75,Hongrie,23.042,23.629,24.064,21.839,21.174,21.441,24.698,27.144,29.703,30.323,34.366,34.754,38.731,40.125,43.167,46.426,46.659,47.297,48.707,49.073,47.218,53.75,67.609,85.285,104.121,113.211,115.716,140.187,158.326,131.069,132.175,141.942,128.814,135.684,141.034,125.174,128.61,143.112,160.566,164.011,157.227,182.275,180.013,203.829
76,Inde,189.438,196.535,203.537,222.049,215.556,237.618,252.751,283.75,299.645,301.234,326.608,274.842,293.262,284.194,333.014,366.6,399.791,423.189,428.767,466.867,476.61,493.953,523.97,618.358,721.589,834.217,949.117,1238.7,1224.096,1365.373,1708.46,1823.052,1827.637,1856.721,2039.127,2103.588,2294.797,2651.474,2702.93,2835.606,2671.596,3150.307,3389.689,3732.224
77,Indonésie,99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.428,279.556,310.815,396.293,470.144,558.582,577.539,755.256,892.59,919.002,916.646,891.051,860.741,932.066,1015.488,1042.711,1119.452,1062.532,1187.732,1318.806,1417.387
79,Iran,95.846,101.481,125.8,156.927,161.721,180.541,208.928,277.019,311.932,379.427,581.008,304.065,50.472,64.449,79.818,114.941,158.032,184.138,205.0,275.092,366.917,330.978,132.682,158.416,188.961,228.428,272.361,360.928,425.699,440.408,517.899,625.43,421.882,428.321,460.809,408.288,458.042,486.829,333.774,241.658,195.528,289.294,346.479,366.438
80,Irlande,21.425,20.423,21.313,20.618,19.883,21.168,28.516,33.66,36.875,38.03,48.199,48.84,54.911,51.364,55.843,69.26,75.928,82.957,90.305,98.993,100.253,109.347,128.505,164.63,194.283,211.993,232.193,270.112,275.417,236.187,222.096,239.129,225.262,238.115,259.75,292.394,298.477,337.124,386.868,398.977,428.266,513.733,533.559,589.569
81,Islande,3.434,3.543,3.251,2.793,2.892,3.009,4.014,5.561,6.145,5.7,6.504,6.949,7.105,6.225,6.393,7.124,7.426,7.57,8.504,8.982,9.026,8.235,9.318,11.429,13.825,16.853,17.465,21.653,18.075,13.154,13.751,15.222,14.752,16.125,17.868,17.517,20.793,24.728,26.261,24.681,21.566,25.596,28.065,30.57
82,Israël,24.915,26.399,28.292,31.553,29.871,27.763,34.179,40.823,50.57,51.453,60.715,68.873,76.961,77.351,88.297,104.893,114.507,118.861,120.057,120.922,136.034,134.637,125.06,131.299,139.974,147.084,158.67,184.053,220.53,211.968,238.364,266.792,262.919,297.636,314.092,302.724,320.96,357.229,375.151,399.652,411.731,489.71,525.003,521.688
83,Italie,479.122,434.498,429.408,445.612,440.268,454.653,643.932,808.203,895.423,931.283,1162.272,1227.727,1302.796,1047.616,1080.544,1175.278,1312.783,1243.228,1271.701,1253.69,1147.183,1168.032,1275.867,1577.228,1805.723,1859.244,1949.657,2213.364,2408.392,2197.54,2137.845,2294.591,2088.28,2141.954,2162.567,1836.824,1876.554,1961.104,2092.881,2011.525,1895.693,2115.762,2012.014,2186.082
84,Jamaïque,2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.44,5.453,6.549,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.213,13.865,14.154,14.108,14.755,15.648,15.808,13.885,14.674,17.003,18.761
85,Japon,1127.876,1243.79,1157.601,1268.62,1345.204,1427.354,2121.25,2584.339,3134.179,3117.068,3196.556,3657.348,3988.334,4544.766,4998.798,5545.566,4923.393,4492.449,4098.363,4635.982,4968.36,4374.71,4182.845,4519.564,4893.135,4831.467,4601.663,4579.75,5106.679,5289.494,5759.072,6233.148,6272.362,5212.328,4896.995,4444.931,5003.678,4930.837,5040.881,5117.995,5050.683,5011.869,4237.528,4230.862
86,Jordanie,3.932,4.416,4.713,4.953,5.003,5.033,6.445,6.794,6.364,4.279,4.187,4.373,5.403,5.615,6.321,6.759,7.054,7.389,8.163,8.414,8.725,9.268,9.972,10.575,11.771,13.134,15.795,17.957,22.648,24.538,27.134,29.524,31.679,34.503,36.9,38.642,39.949,41.667,43.432,44.566,43.641,45.18,47.519,50.022
88,Kenya,13.449,12.667,12.196,11.279,11.703,11.646,13.832,15.163,15.722,15.586,16.219,15.315,15.084,10.479,12.547,15.905,18.064,18.3,20.63,18.594,18.206,18.697,19.03,21.391,22.79,26.308,29.668,36.708,41.059,42.347,45.406,46.555,56.407,61.703,68.395,70.37,74.816,81.965,92.211,100.328,100.912,109.875,113.701,112.749
90,Kiribati,0.042,0.044,0.041,0.038,0.042,0.032,0.031,0.036,0.045,0.044,0.043,0.047,0.048,0.047,0.055,0.056,0.067,0.067,0.066,0.069,0.068,0.063,0.072,0.091,0.103,0.112,0.11,0.133,0.144,0.134,0.156,0.181,0.19,0.185,0.178,0.171,0.179,0.188,0.196,0.175,0.178,0.228,0.224,0.246
93,Laos,1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.26,2.651,3.079,3.934,4.757,5.946,6.431,7.506,8.964,10.194,11.972,13.266,14.418,15.905,17.055,18.131,18.77,18.511,18.533,15.304,14.244
94,Lesotho,0.428,0.435,0.362,0.401,0.36,0.288,0.331,0.434,0.496,0.519,0.635,0.743,0.863,0.865,0.915,1.032,0.977,1.027,0.949,0.937,0.922,0.774,0.856,1.256,1.598,1.73,1.72,1.759,1.652,1.937,2.356,2.571,2.465,2.345,2.477,2.202,2.206,2.424,2.484,2.375,2.133,2.544,2.463,2.373
98,Libye,40.19,34.72,34.616,32.988,30.89,30.384,24.756,23.009,25.87,27.446,31.627,34.995,35.459,31.912,29.719,33.739,36.827,37.702,30.921,37.129,39.498,35.206,21.128,27.026,34.054,48.852,60.094,68.211,86.804,60.809,75.381,48.17,92.542,75.352,57.373,48.718,49.913,67.153,76.682,69.28,46.921,35.224,37.796,40.194
100,Luxembourg,6.434,5.549,4.557,4.473,4.385,4.544,6.611,8.211,9.301,9.903,12.628,13.683,15.328,15.714,17.487,20.571,20.464,18.428,19.263,21.088,21.24,21.388,23.633,29.66,35.049,37.693,42.912,51.593,58.838,54.408,56.26,61.685,59.814,65.204,68.823,60.078,62.2,65.689,71.033,69.898,73.64,85.641,81.706,89.095
103,Madagascar,5.202,4.759,4.785,4.686,3.906,3.803,4.348,3.213,3.189,3.176,3.931,3.255,3.715,4.063,3.522,3.838,4.932,4.263,4.402,4.278,4.629,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.76,14.105,13.051,14.555,15.149,15.763
104,Malaisie,26.757,27.321,29.278,32.745,37.087,34.09,30.303,34.529,37.845,41.678,47.245,53.519,64.427,72.857,81.156,96.606,109.846,109.116,78.639,86.203,102.149,101.054,109.833,120.025,135.869,150.345,170.41,202.732,241.946,211.847,258.64,302.184,318.909,327.869,342.868,301.355,301.256,319.109,358.783,365.178,337.456,373.832,407.027,430.895
105,Malawi,3.022,3.022,2.881,2.986,2.949,2.762,2.883,2.834,3.258,3.715,4.222,5.38,4.394,5.056,2.93,3.412,5.569,6.504,4.275,4.336,4.257,4.178,4.922,4.521,4.895,5.148,5.63,6.24,7.492,8.723,9.796,11.241,8.421,7.648,8.526,9.014,7.733,8.943,9.882,11.031,11.847,12.476,12.537,13.176
106,Maldives,0.063,0.073,0.087,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.098,4.367,4.747,5.294,5.599,3.739,5.392,6.238,6.977
107,Mali,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.871,10.249,10.698,12.993,12.45,13.243,14.369,13.106,14.022,15.36,17.079,17.281,17.643,19.782,19.171,21.309
108,Malte,1.202,1.174,1.109,1.083,1.025,1.038,1.348,1.682,1.909,1.999,2.401,2.611,2.906,2.59,2.868,3.38,3.446,3.489,3.697,3.858,4.075,4.089,4.478,5.455,6.102,6.415,6.811,7.989,9.127,8.721,9.043,9.637,9.468,10.551,11.629,11.093,11.665,13.48,15.411,15.994,15.24,18.099,18.14,20.311
109,Maroc,23.807,19.329,19.51,17.635,16.13,16.28,21.497,23.713,28.08,28.901,32.661,34.94,36.483,34.259,38.532,42.238,46.71,42.366,45.243,45.055,42.053,42.704,45.711,56.345,64.528,67.468,74.284,85.539,100.112,100.535,100.881,109.705,106.345,115.608,119.131,110.414,111.573,118.541,127.341,128.92,121.354,141.818,130.913,147.343
110,Maurice,1.242,1.179,1.131,1.198,1.108,1.122,1.515,1.919,2.225,2.286,2.743,3.017,3.398,3.502,3.887,4.439,4.59,4.31,4.354,4.597,4.935,4.882,5.123,6.155,6.962,6.867,7.123,8.26,10.125,9.252,10.138,11.673,11.826,12.293,13.074,12.007,12.594,13.714,14.736,14.436,11.401,11.476,12.898,14.819
112,Mexique,242.153,311.012,225.706,184.01,217.001,230.272,159.434,174.84,213.893,260.663,307.613,368.772,427.661,530.226,553.618,380.182,432.158,523.45,557.485,631.24,742.061,796.055,810.666,765.55,819.459,917.572,1020.265,1102.356,1161.553,943.437,1105.424,1229.014,1255.11,1327.436,1364.508,1213.294,1112.233,1190.721,1256.3,1305.212,1120.741,1312.557,1465.854,1811.468
114,Monde,11232.069,11526.241,11310.303,11610.283,12025.117,12553.732,14793.158,17032.786,19156.083,20154.504,22643.041,23667.7,25351.636,26075.732,28026.544,31243.753,32113.067,32029.533,31881.27,33008.737,34103.065,33857.249,34969.164,39261.866,44190.886,47868.243,51832.937,58516.949,64226.136,60820.729,66542.408,73828.892,75277.885,77439.701,79500.78,75011.414,76265.413,81088.946,86095.664,87325.54,84960.903,96487.666,100135.361,104476.432
115,Mongolie,2.728,2.854,2.963,3.071,2.837,3.294,3.636,4.086,4.104,4.275,2.678,2.821,1.566,0.771,0.926,1.452,1.348,1.181,1.125,1.057,1.137,1.268,1.397,1.595,1.992,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.62,11.154,11.481,13.207,14.206,13.313,15.286,17.146,18.782
117,Mozambique,4.615,3.585,3.662,3.28,3.417,4.516,5.301,2.395,2.105,2.199,3.529,3.633,2.64,2.73,2.797,2.9,3.857,4.649,5.264,5.976,5.656,5.399,5.677,6.303,7.631,8.542,9.177,10.451,12.556,11.914,11.105,14.382,16.351,16.974,17.716,15.951,11.937,13.219,14.845,15.39,14.157,16.087,19.157,21.936
120,Nicaragua,1.832,2.156,2.497,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.757,13.286,13.786,13.025,12.713,12.682,14.145,15.671,17.353
121,Niger,3.531,3.056,2.84,2.538,2.056,2.027,2.68,3.143,3.21,3.068,3.491,3.271,3.372,3.041,1.935,2.296,2.397,2.285,2.639,2.532,2.235,2.442,2.772,3.382,3.746,4.372,4.743,5.716,7.279,7.324,7.838,8.754,9.412,10.206,10.83,9.684,10.35,11.181,12.814,12.917,13.764,14.923,15.448,17.073
123,Norvège,64.439,63.597,62.647,61.627,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.579,127.132,152.031,163.52,161.357,154.23,162.384,171.456,174.24,195.915,229.385,265.267,309.979,346.914,402.646,464.915,387.974,431.052,501.361,512.777,526.014,501.737,388.16,370.957,401.745,439.789,408.743,367.633,490.293,579.422,546.768
124,Nouvelle-Zélande,22.523,23.442,23.207,22.456,22.349,22.51,27.393,36.931,45.447,44.097,45.773,43.438,41.53,44.797,52.901,62.263,69.095,68.863,56.813,58.892,54.126,53.128,62.061,82.411,101.601,113.264,109.739,134.879,135.373,121.701,145.362,166.939,175.037,187.139,200.159,176.213,185.898,203.558,209.623,210.83,210.084,249.384,242.024,249.415
125,Népal,2.258,2.641,2.669,2.92,3.089,3.208,3.491,3.621,4.27,4.317,4.442,4.861,4.417,4.743,4.954,5.379,5.544,6.027,5.992,6.164,6.537,6.719,6.816,7.218,8.297,9.331,10.316,11.777,14.31,14.663,18.253,21.685,21.703,22.161,22.722,24.361,24.524,28.972,33.112,34.186,33.434,36.927,40.828,41.339
126,Oman,7.269,8.849,9.285,9.733,10.726,11.916,9.433,9.89,9.613,10.743,13.395,13.0,14.274,14.321,14.808,15.821,17.512,18.154,16.044,17.833,22.259,22.206,23.066,24.734,28.379,35.507,42.578,48.3,69.805,55.454,64.994,77.497,87.409,89.936,92.699,78.711,75.129,80.857,91.505,88.061,75.909,88.192,114.667,108.282
127,Ouganda,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,34.754,29.789,30.618,31.583,34.139,37.893,37.927,42.676,48.244,52.39
129,Pakistan,38.616,45.681,49.932,46.619,50.612,50.607,51.827,54.171,62.385,65.042,65.276,74.158,79.338,83.969,84.642,98.917,103.296,101.848,101.381,96.008,99.421,96.784,98.169,112.507,132.206,145.209,161.871,184.141,202.204,187.074,196.712,230.577,250.094,258.674,271.422,299.93,313.623,339.229,356.163,321.071,300.41,348.481,374.658,340.636
132,Panama,4.253,4.814,5.319,5.461,5.7,6.03,6.266,6.294,5.441,5.456,5.931,6.522,7.414,8.096,8.633,8.825,10.406,11.245,12.191,12.775,12.958,13.166,13.685,14.422,15.811,17.244,19.109,22.072,26.072,28.104,30.513,35.95,41.902,47.261,51.74,56.062,60.017,64.468,67.294,69.722,57.087,67.407,76.523,82.348
133,Papouasie-Nouvelle-Guinée,4.087,4.011,3.805,3.799,3.509,3.25,3.535,3.885,5.4,5.238,4.757,5.596,6.466,7.349,8.077,7.149,7.608,7.272,5.558,5.072,5.169,4.531,4.387,5.488,6.279,7.339,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.743,24.11,24.751,23.848,26.312,31.533,31.692
134,Paraguay,4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.615,22.355,27.129,33.737,33.296,38.651,40.378,36.211,36.09,38.997,40.225,37.925,35.432,39.951,41.722,44.142
